participantID	response	Level1	Level2	Level3
1	Ai and Neuroscience	Life Sciences	Neuroscience and Neurobiology	Systems Neuroscience
2	Plant Biology	Life Sciences	Plant Sciences	Plant Biology
2	Ecology	Life Sciences	Animal Sciences	Zoology
2	Ecology	Medicine and Health Sciences	Medical Specialties	Oncology
2	Ecology	Medicine and Health Sciences	Medical Specialties	Urology
2	Ecology	Physical Sciences and Mathematics	Earth Sciences	Geology
3	Digital Humanities	Arts and Humanities	Digital Humanities	NA
3	History	Arts and Humanities	History	NA
4	Computer Science	Physical Sciences and Mathematics	Computer Sciences	NA
4	Neuroscience	Medicine and Health Sciences	Medical Sciences	Neurosciences
5	Evolutionary Genomics	Education	Education Economics	NA
5	Evolutionary Genomics	Life Sciences	Genetics and Genomics	NA
6	Medical Imaging	Medicine and Health Sciences	Medical Sciences	Medical Anatomy
6	Vision Science	Engineering	Biomedical Engineering and Bioengineering	Vision Science
7	Physics	Physical Sciences and Mathematics	Physics	NA
8	Linguistics	Social and Behavioral Sciences	Linguistics	NA
9	Information Science	Physical Sciences and Mathematics	Computer Sciences	Information Security
9	Information Science	Social and Behavioral Sciences	Library and Information Science	Information Literacy
10	Geography	Social and Behavioral Sciences	Geography	NA
11	Physics	Physical Sciences and Mathematics	Physics	NA
12	Ai	Law	NA	NA
13	Marine Conservation	Social and Behavioral Sciences	Communication	Mass Communication
13	Marine Conservation	Social and Behavioral Sciences	Public Affairs, Public Policy and Public Administration	Transportation
14	Neuroscience	Medicine and Health Sciences	Medical Sciences	Neurosciences
15	Physical Oceanography	Medicine and Health Sciences	Rehabilitation and Therapy	Physical Therapy
16	Environmental Data Science	Physical Sciences and Mathematics	Environmental Sciences	NA
17	Computer Science	Physical Sciences and Mathematics	Computer Sciences	NA
18	Environmental Sciences	Physical Sciences and Mathematics	Environmental Sciences	NA
19	Mathematics	Physical Sciences and Mathematics	Mathematics	NA
20	Ecology	Life Sciences	Animal Sciences	Zoology
20	Ecology	Medicine and Health Sciences	Medical Specialties	Oncology
20	Ecology	Medicine and Health Sciences	Medical Specialties	Urology
20	Ecology	Physical Sciences and Mathematics	Earth Sciences	Geology
21	Biomedical Physics	Physical Sciences and Mathematics	Earth Sciences	Mineral Physics
22	Political Science	Social and Behavioral Sciences	Political Science	NA
23	Health Policy	Social and Behavioral Sciences	Public Affairs, Public Policy and Public Administration	Health Policy
24	Cfd Engineering	Engineering	NA	NA
